Generation,MR_sum,Collision,Confusion,Interference
1,60398448.0,430481.0,773394.0,59194572.0
2,59557048.0,506787.0,919792.0,58130468.0
3,59802308.0,420773.0,911472.0,58470064.0
4,59824276.0,328087.0,810093.0,58686096.0
5,58959216.0,293671.0,779112.0,57886432.0
6,59058012.0,295987.0,698744.0,58063280.0
7,58938096.0,111307.0,690503.0,58136288.0
8,59264008.0,268448.0,1101026.0,57894532.0
9,58927664.0,199731.0,876745.0,57851188.0
10,57698152.0,242828.0,849494.0,56605828.0
11,58821392.0,300606.0,930616.0,57590168.0
12,60109312.0,212915.0,760991.0,59135404.0
13,59185256.0,361525.0,925693.0,57898036.0
14,59721628.0,286636.0,493703.0,58941288.0
15,60903848.0,495292.0,1228906.0,59179648.0
16,61015716.0,333105.0,906607.0,59776004.0
17,60049032.0,310687.0,854212.0,58884132.0
18,60257232.0,364526.0,969706.0,58923000.0
19,59465176.0,389525.0,1011066.0,58064584.0
20,60083528.0,383669.0,1040076.0,58659784.0
21,59818040.0,271028.0,725074.0,58821936.0
22,58821312.0,384071.0,742819.0,57694424.0
23,58774364.0,227861.0,596231.0,57950272.0
24,59052144.0,336475.0,725275.0,57990396.0
25,58214488.0,321564.0,718086.0,57174840.0
26,57856472.0,262179.0,700723.0,56893572.0
27,58301304.0,312585.0,1224801.0,56763920.0
28,57364584.0,356920.0,821358.0,56186308.0
29,57908664.0,375610.0,928657.0,56604396.0
30,58412880.0,529962.0,926863.0,56956056.0
31,58906968.0,471666.0,1091727.0,57343576.0
32,58004504.0,885933.0,988877.0,56129696.0
33,56749448.0,609865.0,826724.0,55312860.0
34,56878636.0,660808.0,1083737.0,55134092.0
35,58246288.0,806459.0,1148301.0,56291528.0
36,57988608.0,546863.0,946096.0,56495648.0
37,58478576.0,703204.0,1018219.0,56757152.0
38,58513888.0,418638.0,796074.0,57299176.0
39,58634668.0,236060.0,679153.0,57719456.0
40,58224852.0,207745.0,670799.0,57346308.0
41,58555424.0,221713.0,727119.0,57606592.0
42,58593156.0,214212.0,669807.0,57709136.0
43,58663280.0,196499.0,673355.0,57793424.0
44,58666000.0,163590.0,684504.0,57817908.0
45,58130016.0,125410.0,443430.0,57561176.0
46,58193952.0,167547.0,786735.0,57239668.0
47,58646124.0,180435.0,869618.0,57596072.0
48,58124664.0,250405.0,720874.0,57153384.0
49,57835564.0,245551.0,640409.0,56949604.0
50,58042020.0,387428.0,634440.0,57020152.0
51,57343144.0,323332.0,672348.0,56347464.0
52,57638608.0,174493.0,606548.0,56857568.0
53,57970928.0,305014.0,886889.0,56779024.0
54,58305576.0,590518.0,1058467.0,56656592.0
55,58181988.0,239703.0,563057.0,57379228.0
56,58882908.0,251966.0,640871.0,57990072.0
57,59653160.0,272226.0,778668.0,58602268.0
58,59441580.0,188900.0,586912.0,58665768.0
59,59236772.0,298040.0,529371.0,58409360.0
60,59126488.0,180324.0,581659.0,58364504.0
61,58876688.0,170888.0,587383.0,58118416.0
62,59023328.0,254095.0,719162.0,58050072.0
63,58524248.0,166159.0,690042.0,57668048.0
64,57887476.0,153908.0,598580.0,57134988.0
65,59523444.0,451827.0,1087561.0,57984056.0
66,59558380.0,355053.0,919080.0,58284248.0
67,59413696.0,550779.0,1162278.0,57700640.0
68,59849716.0,578153.0,1162027.0,58109536.0
69,59896500.0,598624.0,966004.0,58331872.0
70,60201868.0,648416.0,993465.0,58559988.0
71,59660076.0,594097.0,978515.0,58087464.0
72,59669212.0,567353.0,958516.0,58143344.0
73,58335420.0,615315.0,1046401.0,56673704.0
74,58123892.0,541974.0,1163438.0,56418480.0
75,57695656.0,619531.0,1316347.0,55759780.0
76,59005712.0,258537.0,987313.0,57759864.0
77,59150616.0,306493.0,880113.0,57964012.0
78,59755088.0,399952.0,1032991.0,58322144.0
79,59001068.0,596634.0,1533534.0,56870900.0
80,58318552.0,603524.0,1525490.0,56189540.0
81,59456280.0,604891.0,1535036.0,57316352.0
82,58448628.0,557659.0,1585746.0,56305224.0
83,58206788.0,491832.0,1318283.0,56396672.0
84,59123356.0,411820.0,1199291.0,57512244.0
85,60136852.0,489930.0,1364566.0,58282356.0
86,60409872.0,568200.0,1453710.0,58387960.0
87,60133328.0,553669.0,1410906.0,58168752.0
88,60556064.0,528920.0,1069262.0,58957884.0
89,60150504.0,711577.0,1058704.0,58380224.0
90,60430312.0,685058.0,968479.0,58776776.0
91,60447784.0,607874.0,910163.0,58929748.0
92,59526128.0,452195.0,690455.0,58383480.0
93,58177616.0,203718.0,438649.0,57535248.0
94,58395072.0,190517.0,543271.0,57661284.0
95,58016460.0,322848.0,623547.0,57070064.0
96,57714504.0,299767.0,860475.0,56554260.0
97,58663316.0,213880.0,730187.0,57719248.0
98,59141368.0,208574.0,676912.0,58255880.0
99,59492384.0,240469.0,789813.0,58462104.0
100,59808156.0,411350.0,883150.0,58513656.0
