Generation,Best_MR_sum_till_now,Collision,Confusion,Interference
1,60398448.0,430481.0,773394.0,59194572.0
2,59557048.0,506787.0,919792.0,58130468.0
3,59557048.0,506787.0,919792.0,58130468.0
4,59557048.0,506787.0,919792.0,58130468.0
5,58959216.0,293671.0,779112.0,57886432.0
6,58959216.0,293671.0,779112.0,57886432.0
7,58938096.0,111307.0,690503.0,58136288.0
8,58938096.0,111307.0,690503.0,58136288.0
9,58927664.0,199731.0,876745.0,57851188.0
10,57698152.0,242828.0,849494.0,56605828.0
11,57698152.0,242828.0,849494.0,56605828.0
12,57698152.0,242828.0,849494.0,56605828.0
13,57698152.0,242828.0,849494.0,56605828.0
14,57698152.0,242828.0,849494.0,56605828.0
15,57698152.0,242828.0,849494.0,56605828.0
16,57698152.0,242828.0,849494.0,56605828.0
17,57698152.0,242828.0,849494.0,56605828.0
18,57698152.0,242828.0,849494.0,56605828.0
19,57698152.0,242828.0,849494.0,56605828.0
20,57698152.0,242828.0,849494.0,56605828.0
21,57698152.0,242828.0,849494.0,56605828.0
22,57698152.0,242828.0,849494.0,56605828.0
23,57698152.0,242828.0,849494.0,56605828.0
24,57698152.0,242828.0,849494.0,56605828.0
25,57698152.0,242828.0,849494.0,56605828.0
26,57698152.0,242828.0,849494.0,56605828.0
27,57698152.0,242828.0,849494.0,56605828.0
28,57364584.0,356920.0,821358.0,56186308.0
29,57364584.0,356920.0,821358.0,56186308.0
30,57364584.0,356920.0,821358.0,56186308.0
31,57364584.0,356920.0,821358.0,56186308.0
32,57364584.0,356920.0,821358.0,56186308.0
33,56749448.0,609865.0,826724.0,55312860.0
34,56749448.0,609865.0,826724.0,55312860.0
35,56749448.0,609865.0,826724.0,55312860.0
36,56749448.0,609865.0,826724.0,55312860.0
37,56749448.0,609865.0,826724.0,55312860.0
38,56749448.0,609865.0,826724.0,55312860.0
39,56749448.0,609865.0,826724.0,55312860.0
40,56749448.0,609865.0,826724.0,55312860.0
41,56749448.0,609865.0,826724.0,55312860.0
42,56749448.0,609865.0,826724.0,55312860.0
43,56749448.0,609865.0,826724.0,55312860.0
44,56749448.0,609865.0,826724.0,55312860.0
45,56749448.0,609865.0,826724.0,55312860.0
46,56749448.0,609865.0,826724.0,55312860.0
47,56749448.0,609865.0,826724.0,55312860.0
48,56749448.0,609865.0,826724.0,55312860.0
49,56749448.0,609865.0,826724.0,55312860.0
50,56749448.0,609865.0,826724.0,55312860.0
51,56749448.0,609865.0,826724.0,55312860.0
52,56749448.0,609865.0,826724.0,55312860.0
53,56749448.0,609865.0,826724.0,55312860.0
54,56749448.0,609865.0,826724.0,55312860.0
55,56749448.0,609865.0,826724.0,55312860.0
56,56749448.0,609865.0,826724.0,55312860.0
57,56749448.0,609865.0,826724.0,55312860.0
58,56749448.0,609865.0,826724.0,55312860.0
59,56749448.0,609865.0,826724.0,55312860.0
60,56749448.0,609865.0,826724.0,55312860.0
61,56749448.0,609865.0,826724.0,55312860.0
62,56749448.0,609865.0,826724.0,55312860.0
63,56749448.0,609865.0,826724.0,55312860.0
64,56749448.0,609865.0,826724.0,55312860.0
65,56749448.0,609865.0,826724.0,55312860.0
66,56749448.0,609865.0,826724.0,55312860.0
67,56749448.0,609865.0,826724.0,55312860.0
68,56749448.0,609865.0,826724.0,55312860.0
69,56749448.0,609865.0,826724.0,55312860.0
70,56749448.0,609865.0,826724.0,55312860.0
71,56749448.0,609865.0,826724.0,55312860.0
72,56749448.0,609865.0,826724.0,55312860.0
73,56749448.0,609865.0,826724.0,55312860.0
74,56749448.0,609865.0,826724.0,55312860.0
75,56749448.0,609865.0,826724.0,55312860.0
76,56749448.0,609865.0,826724.0,55312860.0
77,56749448.0,609865.0,826724.0,55312860.0
78,56749448.0,609865.0,826724.0,55312860.0
79,56749448.0,609865.0,826724.0,55312860.0
80,56749448.0,609865.0,826724.0,55312860.0
81,56749448.0,609865.0,826724.0,55312860.0
82,56749448.0,609865.0,826724.0,55312860.0
83,56749448.0,609865.0,826724.0,55312860.0
84,56749448.0,609865.0,826724.0,55312860.0
85,56749448.0,609865.0,826724.0,55312860.0
86,56749448.0,609865.0,826724.0,55312860.0
87,56749448.0,609865.0,826724.0,55312860.0
88,56749448.0,609865.0,826724.0,55312860.0
89,56749448.0,609865.0,826724.0,55312860.0
90,56749448.0,609865.0,826724.0,55312860.0
91,56749448.0,609865.0,826724.0,55312860.0
92,56749448.0,609865.0,826724.0,55312860.0
93,56749448.0,609865.0,826724.0,55312860.0
94,56749448.0,609865.0,826724.0,55312860.0
95,56749448.0,609865.0,826724.0,55312860.0
96,56749448.0,609865.0,826724.0,55312860.0
97,56749448.0,609865.0,826724.0,55312860.0
98,56749448.0,609865.0,826724.0,55312860.0
99,56749448.0,609865.0,826724.0,55312860.0
100,56749448.0,609865.0,826724.0,55312860.0
